timestamp(ms),C1 (pf),C2 (pf),C2-C1 (pf),
"1780496288.835",,"5.547","-0.12",
"1780496288.852","5.66",,,
"1780496288.872",,"5.536","-0.124",
"1780496288.887","5.668",,,
"1780496288.907",,"5.543","-0.125",
"1780496288.923","5.654",,,
"1780496288.943",,"5.535",,
"1780496288.944",,,"-0.119",
"1780496288.959","5.657",,,
"1780496288.979",,"5.519",,
"1780496288.98",,,"-0.138",
"1780496288.996","5.671",,,
"1780496289.015",,"5.519","-0.152",
"1780496289.031","5.663",,,
"1780496289.051",,"5.538","-0.125",
"1780496289.067","5.65",,,
"1780496289.087",,"5.547","-0.103",
"1780496289.103","5.653",,,
"1780496289.123",,"5.531","-0.122",
"1780496289.139","5.658",,,
"1780496289.159",,"5.515","-0.143",
"1780496289.176","5.643",,,
"1780496289.195",,"5.539",,
"1780496289.196",,,"-0.104",
"1780496289.212","5.662",,,
"1780496289.231",,"5.544","-0.118",
"1780496289.247","5.67",,,
"1780496289.267",,"5.531","-0.139",
