timestamp(ms),C1 (pF),C2 (pF),C1-C2 (pF),Distance d ,ration des c ,ration des  eps,écart ,Distance d2 ,
"1781523042.914",,"0.153","0.905",,,,,,
"1781523042.918",,,,"6.7005743980407715",,,,,
"1781523042.924",,,,,"6.915032","4.894511","-0.700574",,
"1781523042.926",,,,,,,,"6.619759",
"1781523042.96","1.059","0.151","0.908",,,,,,
"1781523042.966",,,,"6.564284324645996",,,,,
"1781523042.971",,,,,"7.013246","4.894511","-0.564284",,
"1781523042.973",,,,,,,,"6.51164",
"1781523043.007","1.058","0.153","0.905",,,,,,
"1781523043.013",,,,"6.7005743980407715",,,,,
"1781523043.018",,,,,"6.915032","4.894511",,,
"1781523043.02",,,,,,,"-0.700574","6.619759",
"1781523043.054","1.058","0.152","0.906",,,,,,
"1781523043.059",,,,"6.6359639167785645",,,,,
"1781523043.065",,,,,"6.960526","4.894511","-0.635964",,
"1781523043.067",,,,,,,,"6.569233",
"1781523043.101","1.058","0.153","0.905",,,,,,
"1781523043.106",,,,"6.7005743980407715",,,,,
"1781523043.112",,,,,"6.915032","4.894511",,,
"1781523043.114",,,,,,,"-0.700574","6.619759",
"1781523043.148","1.057","0.153","0.904",,,,,,
"1781523043.153",,,,"6.710079193115234",,,,,
"1781523043.159",,,,,"6.908497","4.894511","-0.710079",,
"1781523043.161",,,,,,,,"6.627081",
"1781523043.195","1.058","0.152","0.906",,,,,,
"1781523043.2",,,,"6.6359639167785645",,,,,
"1781523043.206",,,,,"6.960526","4.894511",,,
"1781523043.208",,,,,,,"-0.635964","6.569233",
"1781523043.242","1.058","0.153","0.905",,,,,,
"1781523043.247",,,,"6.7005743980407715",,,,,
"1781523043.253",,,,,"6.915032","4.894511","-0.700574",,
"1781523043.255",,,,,,,,"6.619759",
"1781523043.289","1.058","0.151","0.907",,,,,,
"1781523043.294",,,,"6.573112487792969",,,,,
"1781523043.3",,,,,"7.006623","4.894511",,,
"1781523043.302",,,,,,,"-0.573112","6.51882",
"1781523043.336","1.058","0.152","0.906",,,,,,
"1781523043.342",,,,"6.6359639167785645",,,,,
"1781523043.347",,,,,"6.960526","4.894511","-0.635964",,
"1781523043.349",,,,,,,,"6.569233",
"1781523043.383","1.058","0.152","0.906",,,,,,
"1781523043.388",,,,"6.6359639167785645",,,,,
"1781523043.394",,,,,"6.960526","4.894511","-0.635964",,
"1781523043.396",,,,,,,,"6.569233",
"1781523043.43","1.057","0.152","0.905",,,,,,
