timestamp(ms),C2 (pf),C1 - C2 (pf),d (pm),C1 (pf),
"1780649791.88","5.638","159","283.6729",,
"1780649791.895",,,,"5.762",
"1780649791.916","5.632","130","346.5846",,
"1780649791.93",,,,"5.781",
"1780649791.952","5.668","113","401.2743",,
"1780649791.966",,,,"5.909",
"1780649791.988","5.773","136","339.5882",,
"1780649792.003",,,,"5.921",
"1780649792.024","5.846","75","623.5733",,
"1780649792.038",,,,"6.048",
"1780649792.06","5.953","95","501.3053",,
"1780649792.074",,,,"6.111",
"1780649792.096","5.993","118","406.3051",,
"1780649792.11",,,,"6.144",
"1780649792.132","6.011","133","361.5639",,
"1780649792.146",,,,"6.156",
"1780649792.168","6.032","124","389.1613",,
"1780649792.182",,,,"6.168",
"1780649792.204","6.052","116","417.3793",,
"1780649792.218",,,,"6.191",
"1780649792.24","6.062","129","375.938",,
"1780649792.254",,,,"6.19",
"1780649792.276","6.05",,,,
"1780649792.277",,"140","345.7143",,
"1780649792.29",,,,"6.178",
"1780649792.312","6.036","142","340.0563",,
"1780649792.326",,,,"6.168",
"1780649792.348","6.046",,,,
"1780649792.349",,"122","396.459",,
"1780649792.362",,,,"6.199",
"1780649792.384","6.091","108","451.1852",,
"1780649792.399",,,,"6.249",
"1780649792.42","6.146","103","477.3592",,
"1780649792.434",,,,"6.395",
"1780649792.456","6.22","175","284.3429",,
"1780649792.47",,,,"6.357",
"1780649792.492","6.205","152","326.5789",,
"1780649792.506",,,,"6.342",
"1780649792.528","6.205","137","362.3358",,
"1780649792.542",,,,"6.358",
"1780649792.564","6.278","80","627.8",,
"1780649792.578",,,,"6.433",
"1780649792.6","6.361","72","706.7778",,
"1780649792.614",,,,"6.486",
"1780649792.636","6.347","139","365.295",,
"1780649792.65",,,,"6.486",
"1780649792.672","6.354","132","385.0909",,
"1780649792.686",,,,"6.488",
"1780649792.708","6.365","123","413.9837",,
"1780649792.723",,,,"6.495",
"1780649792.744","6.358",,,,
"1780649792.745",,"137","371.2701",,
"1780649792.758",,,,"6.496",
"1780649792.78","6.36","136","374.1176",,
"1780649792.794",,,,"6.493",
"1780649792.816","6.361","132","385.5151",,
"1780649792.83",,,,"6.501",
"1780649792.852","6.365","136","374.4118",,
"1780649792.866",,,,"6.495",
"1780649792.888","6.359","136","374.0588",,
"1780649792.902",,,,"6.498",
"1780649792.924","6.358","140","363.3143",,
"1780649792.938",,,,"6.499",
"1780649792.96","6.366","133","382.9173",,
"1780649792.974",,,,"6.507",
"1780649792.996","6.369","138","369.2174",,
"1780649793.01",,,,"6.505",
"1780649793.032","6.366","139","366.3885",,
"1780649793.046",,,,"6.5",
"1780649793.068","6.361",,,,
"1780649793.069",,"139","366.1007",,
"1780649793.082",,,,"6.482",
"1780649793.104","6.343","139","365.0648",,
"1780649793.118",,,,"6.468",
"1780649793.14","6.322","146","346.4109",,
"1780649793.154",,,,"6.453",
"1780649793.176","6.311",,,,
"1780649793.177",,"142","355.5493",,
"1780649793.191",,,,"6.44",
"1780649793.212","6.279","161",,,
"1780649793.213",,,"312",,
"1780649793.226",,,,"6.417",
"1780649793.248","6.286","131","383.8779",,
"1780649793.262",,,,"6.418",
"1780649793.284","6.279","139","361.3813",,
"1780649793.298",,,,"6.402",
"1780649793.32","6.257","145",,,
"1780649793.321",,,"345.2138",,
"1780649793.334",,,,"6.392",
"1780649793.356","6.264","128","391.5",,
"1780649793.37",,,,"6.393",
"1780649793.392","6.253","140","357.3143",,
"1780649793.406",,,,"6.39",
"1780649793.428","6.263","127","394.5197",,
"1780649793.442",,,,"6.398",
"1780649793.464","6.315","83","608.6747",,
"1780649793.478",,,,"6.467",
"1780649793.5","6.329",,,,
"1780649793.501",,"138","366.8986",,
"1780649793.515",,,,"6.491",
"1780649793.537","6.359","132","385.394",,
