Tour;Distance_diminué;d ;Capacité C2 sans C1 et C1 débranchépF;;C1  pF;C2 sans C1 et C1 branché;C2 avec C1 pF;;distance_ref;;Modele : d=K*C1;Erreur;Somme erreur;K;K1;;Delta C2 1;Delta C2 2;C2 avce C1 (2);C1 (2);C2 avce C1 (3);C1(3);deltad/sE2;C1;C2;1/C2;;a ;b = ;1/C2 - 1/C1;reconstruit;erreur;a moy;b moy;;C2 (4)
1,13;4,50;1,50;2,34;;1,63;0,40;0,32;;;;2,463149967;0,93;;;;;0,19;0,08;0,228;1,774;0,223;1,699;1,911418481;1,70;0,26;2,5;;0,285882705;2,873991232;3,30281529;3,4689002;2,252529429;0,263040889;3,074338867;;0,82
1,00;4,00;2,00;2,32;;1,48;0,38;0,31;;;;2,82736013;0,68;;;;;0,17;0,06;0,21;1,63;0,213;1,563;1,991783682;1,56;0,24;2,631578947;;0,299653038;2,846450567;3,445756642;3,600420644;2,400871289;0,263040889;3,074338867;;0,823
0,88;3,50;2,50;2,30;;1,38;0,38;0,30;;;;3,092240248;0,35;;;;;0,15;0,06;0,2;1,49;0,2;1,477;1,961474357;1,45;0,23;2,638522427;;0,080763503;3,393674403;3,595583161;3,731941089;2,55765943;0,263040889;3,074338867;;0,815
0,75;3,00;3,00;2,26;;1,27;0,36;0,29;;;;3,372401912;0,14;;;;;0,11;0,04;0,196;1,37;0,196;1,36;2,034788985;1,33;0,23;2,770083102;;0,32653706;2,656353733;3,635964912;3,863461533;2,573396481;0,263040889;3,074338867;;0,807
0,63;2,50;3,50;2,23;;1,19;0,35;0,28;;;;3,581249698;0,01;;;;;0,08;0,03;0,185;1,26;0,185;1,26;2,104899931;1,24;0,22;2,898550725;;0,361042543;2,535584542;3,799233442;3,994981977;2,747710276;0,263040889;3,074338867;;0,799
0,50;2,00;4,00;2,22;;1,14;0,34;0,26;;;;3,693314363;0,09;;;;;0,07;0,02;0,18;1,219;0,183;1,227;2,143583957;1,20;0,21;2,958579882;;0,110349884;3,538355179;3,979754714;4,126502421;2,942881158;0,263040889;3,074338867;;0,797
0,38;1,50;4,50;2,20;;1,13;0,33;0,26;;;;3,741705923;0,58;;;;;0,05;0,01;0,177;1,2;0,177;1,2;2,196969697;1,18;0,20;3,03030303;;0,15377074;3,342961325;4,034929656;4,258022866;2,979639172;0,263040889;3,074338867;;0,788
0,25;1,00;5,00;2,18;;1,10;0,33;0,25;;;;3,805379029;1,43;;;;;0,03;0,01;0,175;1,185;0,175;1,19;2,236586942;1,16;0,20;3,076923077;;0,222987953;2,996875259;4,111815026;4,38954331;3,044271062;0,263040889;3,074338867;;0,783
0,13;0,50;5,50;2,16;;1,09;0,32;0,25;;;;3,830848271;2,79;;;;;0,01;0,00;0,17;1,175;0,173;1,183;2,289487701;1,15;0,20;3,134796238;;0,13867879;3,460575658;4,223309002;4,521063754;3,152806287;0,263040889;3,074338867;;0,772
0,00;0,00;6,00;2,15;;1,08;;0,24;;;;3,856317513;4,60;;;;;0,00;;0,17;1,16;0,17;1,17;#DIV/0!;1,14;0,19;#DIV/0!;;#DIV/0!;#DIV/0!;4,292648397;4,652584199;3,208799042;0,263040889;3,074338867;;0,769
